Size (Bytes),	Line Size (Bytes),	Associativity,	Num Banks,	Technology Node (um),	Operating Temp (K),	Cycle time (s),	Per-Byte Read Energy (J),	Per-Byte Write Energy (J),	Static Power (W),	Area (mm2),
67108864,	196,	2,	1,	0.065,	360,	6.25589e-10,	3.0323e-08,	3.783550000000001e-08,	97.0814,	1215.42,
67108864,	197,	2,	1,	0.065,	360,	6.24679e-10,	3.04732e-08,	3.79743e-08,	96.9128,	1216.55,
67108864,	198,	2,	1,	0.065,	360,	6.23771e-10,	3.0634300000000005e-08,	3.81236e-08,	96.7393,	1218.38,
67108864,	199,	2,	1,	0.065,	360,	6.236960000000001e-10,	3.0841600000000004e-08,	3.8341600000000005e-08,	96.8583,	1223.87,
67108864,	200,	2,	1,	0.065,	360,	6.23246e-10,	3.10032e-08,	3.84906e-08,	96.6762,	1225.64,
67108864,	201,	2,	1,	0.065,	360,	6.23931e-10,	3.12191e-08,	3.87499e-08,	97.1784,	1231.63,
67108864,	202,	2,	1,	0.065,	360,	6.230480000000001e-10,	3.1381e-08,	3.8898400000000004e-08,	96.9672,	1233.34,
67108864,	203,	2,	1,	0.065,	360,	6.222090000000001e-10,	3.15318e-08,	3.903540000000001e-08,	96.7132,	1234.26,
67108864,	204,	2,	1,	0.065,	360,	6.22204e-10,	3.17325e-08,	3.92453e-08,	96.75210000000001,	1238.65,
67108864,	205,	2,	1,	0.065,	360,	6.213680000000001e-10,	3.1883400000000003e-08,	3.9381700000000005e-08,	96.4909,	1239.51,
67108864,	206,	2,	1,	0.065,	360,	6.21365e-10,	3.20851e-08,	3.959210000000001e-08,	96.5317,	1243.9,
67108864,	207,	2,	1,	0.065,	360,	6.205310000000001e-10,	3.22363e-08,	3.97281e-08,	96.2633,	1244.69,
67108864,	208,	2,	1,	0.065,	360,	6.2053e-10,	3.24383e-08,	3.99383e-08,	96.29180000000001,	1249.02,
67108864,	209,	2,	1,	0.065,	360,	6.20532e-10,	3.26179e-08,	4.01338e-08,	96.3427,	1252.0,
